Symbiodinium microadriaticum,cladea,2951,GCA_001939145.1
Breviolum minutum,cladeb,2499525,https://marinegenomics.oist.jp/symb/download/symbB.v1.2.augustus.mrna.fa.gz
Cladocopium goreaui,cladec,2562237,http://symbs.reefgenomics.org/download/SymbC1.Gene_Models.CDS.fasta.gz
Durusdinium trenchii,claded,1381693,https://marinegenomics.oist.jp/symbd/download/102_symbd_transcriptome_nucl.fa.gz
Fugacium,cladef,2697096,http://symbs.reefgenomics.org/download/SymbF.Gene_Models.CDS.fasta.gz
