Acropora tenuis,aten,70783,http://aten.reefgenomics.org/download/aten_0.11.maker_post_001.transcripts.fasta.gz
Porites lutea,plut,51062,http://plut.reefgenomics.org/download/plut2v1.1.transcripts.fasta.gz
Galaxea fascicularis,gfas,46745,http://gfas.reefgenomics.org/download/gfas_1.0.transcripts.fasta.gz
Fungia sp,ffun,51052,http://ffun.reefgenomics.org/download/ffun_1.0.transcripts.fasta.gz
Goniastrea aspera,gasp,1540031,http://gasp.reefgenomics.org/download/gasp_1.0.transcripts.fasta.gz
Pachyseris speciosa,pspe,497657,http://pspe.reefgenomics.org/download/pspe_0.12.maker_post_002.transcripts.fasta.gz
