Acropora tenuis,aten,70783,http://aten.reefgenomics.org/download/aten_final_0.11.fasta.gz
Porites lutea,plut,51062,http://plut.reefgenomics.org/download/plut_final_2.1.fasta.gz
Galaxea fascicularis,gfas,46745,http://gfas.reefgenomics.org/download/gfas_final_1.0.fasta.gz
Fungia sp,ffun,51052,http://ffun.reefgenomics.org/download/ffun_final_1.0.fasta.gz
Goniastrea aspera,gasp,1540031,http://gasp.reefgenomics.org/download/gasp_final_1.0.fasta.gz
Pachyseris speciosa,pspe,497657,http://pspe.reefgenomics.org/download/pspe_final_0.12.fasta.gz
